,link,Адрес,Застройщик,Агентство,Частное лицо,Цена,Цена за квадрат,Общая площадь,Жилая площадь,Площадь кухни,Балкон или лоджия,Санузел,Высота потолков,Количество комнат,Этаж,Этажей в доме,Отделка,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Окна,Название новостройки,Официальный застройщик,Тип участия,Срок сдачи,Тип дома,"Корпус, строение",Способ продажи,Вид сделки,Тип комнат
0,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_31m_13et._2785771548,"с. Ямное, ул. Ягодная, д. 24","Специализированный Застройщик ""ВИТ-СТРОЙ""",,,2512620,81052,31.0,18.0,9.5,,совмещенный,2.7,1,1,3,предчистовая,нет,нет,"детская площадка, спортивная площадка",открытая во дворе,во двор,ЖК «Рождественский»,ООО «Специализированный Застройщик «ВИТ-СТРОЙ»,ДДУ по ФЗ 214,3 кв. 2023 года,кирпичный,Дом 24 (ул. Ягодная),договор долевого участия,возможна ипотека,
1,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_31m_23et._2657446009,"с. Ямное, ул. Ягодная, д. 24","Специализированный Застройщик ""ВИТ-СТРОЙ""",,,2512620,81052,31.0,18.0,9.4,лоджия,раздельный,2.7,1,2,3,предчистовая,нет,нет,"детская площадка, спортивная площадка",открытая во дворе,,ЖК «Рождественский»,ООО «Специализированный Застройщик «ВИТ-СТРОЙ»,ДДУ по ФЗ 214,3 кв. 2023 года,кирпичный,Дом 24 (ул. Ягодная),договор долевого участия,возможна ипотека,
2,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_31m_23et._2753009722,"с. Ямное, ул. Ягодная, д. 24","Специализированный Застройщик ""ВИТ-СТРОЙ""",,,2512620,81052,31.0,12.0,11.6,,совмещенный,2.7,1,2,3,предчистовая,,,"детская площадка, спортивная площадка",открытая во дворе,во двор,ЖК «Рождественский»,ООО «Специализированный Застройщик «ВИТ-СТРОЙ»,ДДУ по ФЗ 214,3 кв. 2023 года,кирпичный,Дом 24 (ул. Ягодная),договор долевого участия,возможна ипотека,
3,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_312m_23et._2753576992,"с. Ямное, ул. Ягодная, д. 24","Специализированный Застройщик ""ВИТ-СТРОЙ""",,,2588770,82973,31.2,11.8,11.6,лоджия,совмещенный,2.7,1,2,3,предчистовая,,,"детская площадка, спортивная площадка",открытая во дворе,во двор,ЖК «Рождественский»,ООО «Специализированный Застройщик «ВИТ-СТРОЙ»,ДДУ по ФЗ 214,3 кв. 2023 года,кирпичный,Дом 24 (ул. Ягодная),договор долевого участия,возможна ипотека,
4,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_471m_1318et._2821714608,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3622759,76916,47.1,,,,,,2,13,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
5,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_474m_418et._2724866955,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3551758,74932,47.4,,,,,,2,4,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
6,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_474m_618et._2725253737,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3551758,74932,47.4,,,,,,2,6,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
7,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_474m_1218et._2725074750,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3551758,74932,47.4,,,,,,2,12,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
8,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_474m_518et._2724946938,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3551758,74932,47.4,,,,,,2,5,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
9,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_471m_1118et._2821457899,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3622759,76916,47.1,,,,,,2,11,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
10,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_474m_718et._2725669419,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3551758,74932,47.4,,,,,,2,7,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
11,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_474m_1418et._2724928112,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3551758,74932,47.4,,,,,,2,14,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
12,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_474m_1318et._2724905795,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3551758,74932,47.4,,,,,,2,13,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
13,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_474m_218et._2725726268,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3551758,74932,47.4,,,,,,2,2,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
14,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_474m_318et._2724945510,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3551758,74932,47.4,,,,,,2,3,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
15,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_453m_1318et._2724940905,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3300912,72868,45.3,,,,,,2,13,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
16,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_453m_218et._2725420520,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3300912,72868,45.3,,,,,,2,2,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
17,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_453m_318et._2725721079,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3300912,72868,45.3,,,,,,2,3,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
18,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_453m_418et._2724848433,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3300912,72868,45.3,,,,,,2,4,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
19,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_453m_518et._2725255076,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3300912,72868,45.3,,,,,,2,5,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
20,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_453m_1218et._2725350565,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3300912,72868,45.3,,,,,,2,12,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
21,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_453m_1418et._2725782778,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,3300912,72868,45.3,,,,,,2,14,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
22,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_59m_2026et._2670674811,"ул. Ломоносова, д. 80",,Гарант недвижимость,,5950000,100847,59.0,30.0,13.0,лоджия,совмещенный,2.8,2,20,26,чистовая,2,1,"закрытая территория, детская площадка, спортивная площадка","подземная, наземная многоуровневая",на солнечную сторону,ЖК «Университетский парк»,ООО «Специализированный Застройщик  «ТерраИнвест»,другое,сдан,монолитно-кирпичный,2 очередь,переуступка,возможна ипотека,изолированные
23,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_59m_2326et._2701955297,"ул. Ломоносова, д. 80",,Гарант недвижимость,,7050000,119492,59.0,31.0,13.0,лоджия,совмещенный,2.8,2,23,26,чистовая,2,1,"детская площадка, спортивная площадка","подземная, наземная многоуровневая, открытая во дворе",на солнечную сторону,ЖК «Университетский парк»,ООО «Специализированный Застройщик  «ТерраИнвест»,другое,сдан,монолитно-кирпичный,2 очередь,переуступка,,изолированные
24,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_62m_1717et._2867525825,"ул. Острогожская, поз. 31",,Сити-Центр Владис,,4585000,73952,62.0,35.0,11.1,лоджия,раздельный,2.7,2,17,17,чистовая,1,1,"детская площадка, спортивная площадка",открытая во дворе,во двор,ЖК «Ласточкино»,АО «СЗ «ДСК»,ДДУ по ФЗ 214,3 кв. 2023 года,панельный,Позиция 31,договор долевого участия,возможна ипотека,изолированные
25,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_622m_1517et._2931155063,"ул. Острогожская, поз. 31",,Сити-Центр Владис,,4720950,75900,62.2,31.2,10.4,лоджия,раздельный,2.6,2,15,17,чистовая,1,1,"детская площадка, спортивная площадка",открытая во дворе,"во двор, на улицу",ЖК «Ласточкино»,АО «СЗ «ДСК»,ДДУ по ФЗ 214,3 кв. 2023 года,панельный,Позиция 31,договор долевого участия,возможна ипотека,изолированные
26,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_307m_218et._2725609666,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,2425386,79003,30.7,,,,,,1,2,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
27,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_307m_718et._2724889957,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,2425386,79003,30.7,,,,,,1,7,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
28,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_307m_318et._2725091714,"ул. Острогожская, д. 164","ГК ""РАЗВИТИЕ""",,,2425386,79003,30.7,,,,,,1,3,18,предчистовая,,,,,,ЖК «Авиапарк»,ООО РСУ СЗ «РАЗВИТИЕ»,ДДУ по ФЗ 214,4 кв. 2028 года,монолитно-кирпичный,,,,
29,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_922et._2597819404,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,9,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
30,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_622et._2596923492,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,6,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
31,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_222et._2597200517,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,2,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
32,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_422et._2597584897,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,4,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
33,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_1122et._2597789545,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,11,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
34,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_1022et._2597198756,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,10,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
35,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_322et._2597209396,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,3,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
36,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_1722et._2597609974,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,17,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
37,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_2022et._2596909476,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,20,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
38,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_722et._2597243091,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,7,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
39,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_1922et._2597325210,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,19,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
40,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_822et._2597096743,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,8,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
41,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_1522et._2596901935,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,15,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
42,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_1322et._2597301551,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,13,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
43,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_1622et._2597455745,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,16,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
44,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_1222et._2597282732,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,12,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
45,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_1014m_1422et._2597411414,"ул. 45-й Стрелковой Дивизии, д. 255г, 257","Официальный Застройщик ЖК ""ОБЛАКА""",,,6805860,67119,101.4,,22.8,балкон,раздельный,2.7,3,14,22,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","подземная, за шлагбаумом во дворе","во двор, на улицу",ЖК «Облака»,ООО СЗ «СЕМЬЯ»,ДДУ по ФЗ 214,1 кв. 2023 года,монолитный,Секция 1,,,изолированные
46,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_667m_1825et._2918457501,"ул. Березовая роща, д. 4А",,,Пользователь,6900000,103448,66.7,,,лоджия,раздельный,,2,18,25,предчистовая,1,2,"закрытая территория, детская площадка, спортивная площадка","подземная, открытая во дворе",на улицу,ЖК «ЛЕГЕНДА ПАРК»,ООО «СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЛЕГЕНДА ПАРК»,ДДУ по ФЗ 214,"4 кв. 2022 года, сдача не подтверждена",монолитный,2 этап,переуступка,,изолированные
47,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_667m_1725et._2918580491,"ул. Березовая роща, д. 4А",,,Пользователь,6800000,101949,66.7,,,лоджия,раздельный,,2,17,25,предчистовая,1,2,"закрытая территория, детская площадка, спортивная площадка",подземная,на улицу,ЖК «ЛЕГЕНДА ПАРК»,ООО «СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ЛЕГЕНДА ПАРК»,ДДУ по ФЗ 214,"4 кв. 2022 года, сдача не подтверждена",монолитный,2 этап,переуступка,,изолированные
48,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_622m_1117et._2826213741,"ул. Острогожская, поз. 31",,novostroiky-vrn,,4768636,76666,62.2,,10.4,лоджия,раздельный,,2,11,17,чистовая,1,1,"детская площадка, спортивная площадка",открытая во дворе,,ЖК «Ласточкино»,АО «СЗ «ДСК»,ДДУ по ФЗ 214,3 кв. 2023 года,панельный,Позиция 31,договор долевого участия,возможна ипотека,изолированные
49,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_62m_516et._2826706254,"ул. Острогожская, поз. 31",,novostroiky-vrn,,4798803,77400,62.0,31.0,10.4,лоджия,раздельный,2.7,2,5,16,чистовая,1,1,"детская площадка, спортивная площадка",открытая во дворе,во двор,ЖК «Ласточкино»,АО «СЗ «ДСК»,ДДУ по ФЗ 214,3 кв. 2023 года,панельный,Позиция 31,договор долевого участия,возможна ипотека,изолированные
50,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_622m_1417et._2826562822,"ул. Острогожская, поз. 31",,novostroiky-vrn,,4768636,76666,62.2,31.0,10.4,лоджия,раздельный,2.7,2,14,17,чистовая,1,1,"детская площадка, спортивная площадка",открытая во дворе,во двор,ЖК «Ласточкино»,АО «СЗ «ДСК»,ДДУ по ФЗ 214,3 кв. 2023 года,панельный,Позиция 31,договор долевого участия,возможна ипотека,изолированные
51,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_622m_1317et._2826130831,"ул. Острогожская, поз. 31",,novostroiky-vrn,,4768636,76666,62.2,,10.4,лоджия,раздельный,,2,13,17,чистовая,1,1,"детская площадка, спортивная площадка",открытая во дворе,,ЖК «Ласточкино»,АО «СЗ «ДСК»,ДДУ по ФЗ 214,3 кв. 2023 года,панельный,Позиция 31,договор долевого участия,возможна ипотека,изолированные
52,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_622m_817et._2826401084,"ул. Острогожская, поз. 31",,novostroiky-vrn,,4798803,77151,62.2,31.2,10.4,лоджия,раздельный,2.7,2,8,17,чистовая,1,1,"детская площадка, спортивная площадка",открытая во дворе,во двор,ЖК «Ласточкино»,АО «СЗ «ДСК»,ДДУ по ФЗ 214,3 кв. 2023 года,панельный,Позиция 31,договор долевого участия,возможна ипотека,изолированные
53,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_628m_917et._2858032497,"ул. Острогожская, поз. 31",,novostroiky-vrn,,4677165,74477,62.8,35.4,11.1,лоджия,раздельный,2.7,2,9,17,чистовая,1,1,"детская площадка, спортивная площадка",открытая во дворе,во двор,ЖК «Ласточкино»,АО «СЗ «ДСК»,ДДУ по ФЗ 214,3 кв. 2023 года,панельный,Позиция 31,договор долевого участия,возможна ипотека,изолированные
54,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_626m_1016et._2825920131,"ул. Острогожская, поз. 31",,novostroiky-vrn,,4662324,74478,62.6,35.0,11.1,лоджия,раздельный,2.7,2,10,16,чистовая,1,1,"детская площадка, спортивная площадка",открытая во дворе,во двор,ЖК «Ласточкино»,АО «СЗ «ДСК»,ДДУ по ФЗ 214,3 кв. 2023 года,панельный,Позиция 31,договор долевого участия,возможна ипотека,изолированные
55,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_622m_217et._2826048017,"ул. Острогожская, поз. 31",,novostroiky-vrn,,4708302,75696,62.2,,10.4,лоджия,раздельный,,2,2,17,чистовая,1,1,"детская площадка, спортивная площадка",открытая во дворе,во двор,ЖК «Ласточкино»,АО «СЗ «ДСК»,ДДУ по ФЗ 214,3 кв. 2023 года,панельный,Позиция 31,договор долевого участия,возможна ипотека,изолированные
56,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_487m_1016et._2643313270,"ул. Козо-Полянского, д. 5","ООО предприятие ""ИП К.И.Т.""",,,4400000,90349,48.7,19.0,10.4,балкон,раздельный,2.7,1,10,16,чистовая,1,1,детская площадка,,во двор,ЖК «Спутник»,ООО предприятие «ИП К.И.Т.»,другое,сдан,монолитно-кирпичный,Позиция 11,,,
57,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_487m_316et._2483274987,"ул. Козо-Полянского, д. 5","ООО предприятие ""ИП К.И.Т.""",,,4400000,90349,48.7,19.0,10.4,балкон,раздельный,2.7,1,3,16,чистовая,1,1,"детская площадка, спортивная площадка",,во двор,ЖК «Спутник»,ООО предприятие «ИП К.И.Т.»,другое,сдан,монолитно-кирпичный,Позиция 11,,,
58,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_487m_1116et._2483034723,"ул. Козо-Полянского, д. 5","ООО предприятие ""ИП К.И.Т.""",,,4400000,90349,48.7,19.0,10.4,балкон,раздельный,2.7,1,11,16,чистовая,1,1,"детская площадка, спортивная площадка",,во двор,ЖК «Спутник»,ООО предприятие «ИП К.И.Т.»,другое,сдан,монолитно-кирпичный,Позиция 11,,,
59,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_487m_1216et._2643553383,"ул. Козо-Полянского, д. 5","ООО предприятие ""ИП К.И.Т.""",,,4400000,90349,48.7,19.0,10.4,балкон,раздельный,2.7,1,12,16,чистовая,1,1,детская площадка,,во двор,ЖК «Спутник»,ООО предприятие «ИП К.И.Т.»,другое,сдан,монолитно-кирпичный,Позиция 11,,,
